epoch,train_loss,contrastive_loss,classification_loss,hard_negative_loss,batch_train_acc,train_acc,train_top1,test_acc,test_top1,test_r5,test_mean_rank,rerank_top1,rerank_r5,lr,generalization_gap
1,2.0207040784428423,1.3723421909855407,2.0863120301255904,0.41372868274022073,0.07560975609756097,0.07560975609756097,,0.021739130839705467,0.043478260869565216,0.2391304347826087,17.67391304347826,,,0.0001,0.053870625257855506
2,1.8305272662523882,1.03484010783214,2.086248224221387,0.3067911660786971,0.13170731707317074,0.13170731707317074,,0.08695652335882187,0.021739130434782608,0.2826086956521739,14.0,,,0.0001,0.04475079371434887
3,1.6427913672715715,0.7080668262341647,2.077065102105002,0.21259420531467327,0.24390243902439024,0.24390243902439024,,0.28260868787765503,0.06521739130434782,0.30434782608695654,13.608695652173912,,,0.0001,-0.03870624885326479
4,1.6569469657916467,0.7457831326908279,2.0637082428608124,0.22915200440629016,0.3146341463414634,0.3146341463414634,,0.3913043439388275,0.06521739130434782,0.34782608695652173,12.869565217391305,,,0.0001,-0.0766701975973641
5,1.5793600695804484,0.616923967627266,2.0459754571173954,0.21656385498139466,0.4073170731707317,0.4073170731707317,,0.3478260934352875,0.043478260869565216,0.32608695652173914,12.347826086956522,,,0.0001,0.059490979735444205
6,1.4921427594805228,0.5024794829530117,2.016516279248358,0.15496597880298651,0.4195121951219512,0.4195121951219512,,0.3695652186870575,0.043478260869565216,0.30434782608695654,12.0,,,0.0001,0.04994697643489371
7,1.4275782617550452,0.42114203327416794,1.9830136275985866,0.13599508827172438,0.4634146341463415,0.4634146341463415,,0.3913043439388275,0.06521739130434782,0.3695652173913043,11.934782608695652,,,0.0001,0.07211029020751397
8,1.3860528966755543,0.40153296988963794,1.9372964611331236,0.11454243972463515,0.5560975609756098,0.5560975609756098,,0.4130434989929199,0.08695652173913043,0.34782608695652173,11.58695652173913,,,0.0001,0.14305406198268988
9,1.342367393299214,0.3713900368045835,1.8842260455622257,0.1306835195971924,0.5634146341463414,0.5634146341463414,,0.43478262424468994,0.06521739130434782,0.391304347826087,12.630434782608695,,,0.0001,0.12863200990165147
10,1.2787769396328232,0.33556848176126597,1.830214167104184,0.06432073020819322,0.5341463414634147,0.5341463414634147,,0.4130434989929199,0.06521739130434782,0.32608695652173914,13.282608695652174,,,0.0001,0.12110284247049474
11,1.2488458688976696,0.31679810070911946,1.7821993654214063,0.10563578478340964,0.551219512195122,0.551219512195122,,0.45652174949645996,0.08695652173913043,0.391304347826087,12.26086956521739,,,0.0001,0.09469776269866204
12,1.2007844523318763,0.28570692535776315,1.7264202219768636,0.110394014895541,0.6121951219512195,0.6121951219512195,,0.43478262424468994,0.06521739130434782,0.3695652173913043,12.23913043478261,,,0.0001,0.17741249770652956
