method,input_csv,seed,lora_rank,lora_alpha,lr,epochs,before_acc,after_acc,after_r1,after_r5,after_r10,after_mean_rank,train_loss,metrics_path
original_fixed120,label_data\meta0713_clip_lora_dataset_fixed120.csv,42,8,16.0,0.0001,12,0.06521739065647125,0.42391306161880493,0.11956521739130435,0.3804347826086957,0.5434782608695652,13.33695652173913,1.1603865895582282,clip_output\meta0713_fixed120_lora_grid_ep12\r8_a16_lr1em04_s42\metrics.json
fusion_concat,label_data\multi_annotation_fusion\meta0713_fixed120_concat.csv,42,8,16.0,0.0001,12,0.06521739065647125,0.4021739065647125,0.21739130434782608,0.5108695652173914,0.6956521739130435,9.73913043478261,0.8743271905442943,clip_output\meta0713_fusion_concat_lora_ep12\r8_a16_lr1em04_s42\metrics.json
fusion_normalized,label_data\multi_annotation_fusion\meta0713_fixed120_normalized.csv,42,8,16.0,0.0001,12,0.06521739065647125,0.3478260934352875,0.358695652173913,0.7717391304347826,0.9021739130434783,4.260869565217392,0.7222096881140834,clip_output\meta0713_fusion_normalized_lora_ep12\r8_a16_lr1em04_s42\metrics.json
fusion_structured,label_data\multi_annotation_fusion\meta0713_fixed120_structured.csv,42,8,16.0,0.0001,12,0.06521739065647125,0.4021739065647125,0.18478260869565216,0.5,0.6956521739130435,9.206521739130435,0.868856360083041,clip_output\meta0713_fusion_structured_lora_ep12\r8_a16_lr1em04_s42\metrics.json
