method,model,text_strategy,temporal_head,epochs,top1,acc,r5,mean_rank,overfit_gap
baseline_vitb32_lora_ep12,ViT-B/32,fixed120 original,mean pooling,12,0.11956521739130435,0.42391306161880493,0.3804347826086957,13.33695652173913,
semantic_union_vitb16_temporal_attention_lora_train90_ep12_rerun,ViT-B/16,semantic_union,attention,12,0.2826086956521739,0.3913043439388275,0.6521739130434783,6.086956521739131,0.12820785118312372
