epoch,train_loss,contrastive_loss,classification_loss,batch_train_acc,train_acc,train_top1,test_acc,test_top1,test_r5,test_mean_rank,rerank_top1,rerank_r5,lr,generalization_gap
1,1.8579468449342598,1.212096554851069,2.0864975267243615,0.06829268292682927,0.06829268292682927,,0.021739130839705467,0.08695652173913043,0.41304347826086957,9.826086956521738,,,0.0001,0.046553552087123806
2,1.6051142574514,0.7083202900672422,2.084923447914494,0.15121951219512195,0.15121951219512195,,0.06521739065647125,0.1956521739130435,0.5,8.152173913043478,,,0.0001,0.0860021215386507
3,1.483823123487454,0.47499917230559785,2.077205817676285,0.2,0.2,,0.08695652335882187,0.2391304347826087,0.5869565217391305,7.717391304347826,,,0.0001,0.11304347664117814
4,1.4190984246800247,0.3573508014703549,2.0673716334463323,0.24390243902439024,0.24390243902439024,,0.19565217196941376,0.2608695652173913,0.5434782608695652,7.239130434782608,,,0.0001,0.04825026705497648
5,1.4200958152419154,0.37283044622688855,2.0561342320395903,0.3,0.3,,0.260869562625885,0.2608695652173913,0.5434782608695652,7.695652173913044,,,0.0001,0.03913043737411498
6,1.3426620832924705,0.2402249856883642,2.037582572224071,0.33902439024390246,0.33902439024390246,,0.260869562625885,0.17391304347826086,0.5652173913043478,6.608695652173913,,,0.0001,0.07815482761801745
7,1.3402736858256812,0.25582636756035815,2.020600757552582,0.33658536585365856,0.33658536585365856,,0.21739131212234497,0.2391304347826087,0.5434782608695652,6.304347826086956,,,0.0001,0.11919405373131359
8,1.3172208475835114,0.22200778990676537,2.0103615233041707,0.3439024390243902,0.3439024390243902,,0.30434784293174744,0.2826086956521739,0.6086956521739131,5.8478260869565215,,,0.0001,0.03955459609264278
9,1.3080062484278263,0.2407940441823917,1.9793486282663437,0.4073170731707317,0.4073170731707317,,0.3695652186870575,0.2826086956521739,0.6956521739130435,5.6521739130434785,,,0.0001,0.037751854483674185
10,1.253603313733073,0.17252414827619328,1.945568656458438,0.4292682926829268,0.4292682926829268,,0.3695652186870575,0.32608695652173914,0.5869565217391305,5.717391304347826,,,0.0001,0.05970307399586933
11,1.2138082900093596,0.13535306844984643,1.9102195049952535,0.4292682926829268,0.4292682926829268,,0.3913043439388275,0.30434782608695654,0.6304347826086957,5.326086956521739,,,0.0001,0.03796394874409931
12,1.179659871221746,0.11941957753745035,1.8665833924580546,0.5195121951219512,0.5195121951219512,,0.3913043439388275,0.2826086956521739,0.6521739130434783,6.086956521739131,,,0.0001,0.12820785118312372
